"Niveau 1";"Niveau 2";"Niveau 3";"Niveau 4";"Niveau 5";"Niveau 6";"Niveau 7";"Niveau 8";"Niveau 9";"Priorité";"Progression";"Date de début";"Échéance";"Durée (jours)";Effort (jours);"Jalon";"Ressources";
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"73 Usufruit - Usage et habitation";"73Z";"73Z Demande relative à un droit d'usage et d'habitation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"74 Servitudes";"74A";"74A Demande relative à une servitude d'usage ou de passage des eaux";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"74 Servitudes";"74B";"74B Demande relative à une servitude de distance pour les plantations et constructions";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"74 Servitudes";"74C";"74C Demande relative à une servitude de jours et vues sur le fonds voisin";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"74 Servitudes";"74D";"74D Demande relative à un droit de passage";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"74 Servitudes";"74E";"74E Demande d'établissement d'une servitude de cour commune";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"74 Servitudes";"74F";"74F Demande relative à un droit d'usage forestier ou rural";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"74 Servitudes";"74Z";"74Z Demande relative à d'autres servitudes";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"75 Emphytéose - Bail à construction - Concession immobilière";"75A";"75A Demande relative au montant et au paiement des redevances emphytéotiques, ou des loyers du bail à construction";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"75 Emphytéose - Bail à construction - Concession immobilière";"75B";"75B Demande relative au sort du bien ou des constructions à l'expiration du bail à construction ou emphytéotique";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"75 Emphytéose - Bail à construction - Concession immobilière";"75D";"75D Autres demandes relatives au bail à construction ou à l'emphytéose";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"75 Emphytéose - Bail à construction - Concession immobilière";"75E";"75E Demande relative à une concession immobilière";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.6. Construction";"54 Contrat tendant à la réalisation de travaux de construction";"54A";"54A Demande en nullité d'un contrat tendant à la réalisation de travaux de construction";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.6. Construction";"54 Contrat tendant à la réalisation de travaux de construction";"54B";"54B Demande en paiement du prix formée par le sous-traitant contre l'entrepreneur principal";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.6. Construction";"54 Contrat tendant à la réalisation de travaux de construction";"54C";"54C Demande en paiement du prix formée par le constructeur contre le maître de l'ouvrage ou son garant";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.6. Construction";"54 Contrat tendant à la réalisation de travaux de construction";"54D";"54D Demande en paiement direct du prix formée par le sous-traitant contre le maître de l'ouvrage";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.6. Construction";"54 Contrat tendant à la réalisation de travaux de construction";"54E";"54E Recours formé par le constructeur entrepreneur principal contre un sous-traitant";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.6. Construction";"54 Contrat tendant à la réalisation de travaux de construction";"54F";"54F Recours entre constructeurs";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.6. Construction";"54 Contrat tendant à la réalisation de travaux de construction";"54G";"54G Demande d'exécution de travaux, ou de dommages-intérêts, formée par le maître de l'ouvrage contre le constructeur ou son garant, ou contre le fabricant d'un élément de construction";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.6. Construction";"54 Contrat tendant à la réalisation de travaux de construction";"54Z";"54Z Autres demandes relatives à un contrat de réalisation de travaux de construction";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"Pensions alimentaires";"24 Obligations à caractère alimentaire";"24H";"24H Contestation relative au paiement direct ou au recouvrement public des pensions alimentaires";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX immobilier";"78 Saisies et mesures conservatoires";"78A";"78A Demande tendant à la vente immobilière et à la distribution du prix";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX immobilier";"78 Saisies et mesures conservatoires";"78B";"78B Demande tendant à la suspension de la procédure de saisie immobilière, l'annulation ou la péremption ou tendant à la vente amiable";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX immobilier";"78 Saisies et mesures conservatoires";"78E";"78E Autres demandes relatives à la procédure de saisie immobilière";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"76 Sûretés mobilières et immobilières";"76A";"76A Demande en nullité, en radiation ou en réduction d'une sûreté immobilière";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"76 Sûretés mobilières et immobilières";"76B";"76B Recours contre les décisions relatives à l'inscription ou à la radiation d'une hypothèque ou d'un privilège d'un doit réel immobilier au Livre foncier";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"76 Sûretés mobilières et immobilières";"76D";"76D Autres demandes relatives à une sûreté immobilière";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"76 Sûretés mobilières et immobilières";"76E";"76E Demande en nullité, en radiation ou en réduction d'une sûreté mobilière";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"76 Sûretés mobilières et immobilières";"76F";"76F Demande tendant à la réalisation de la sûreté : vente forcée, autorisation de vente amiable, ou attribution d'un bien mobilier constitutif de la sûreté";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"76 Sûretés mobilières et immobilières";"76H";"76H Autres demandes relatives à une sûreté mobilière";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"76 Sûretés mobilières et immobilières";"76X";"76X Sûretés mobilières et immobilières- nature d'affaire indéterminée";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"77 Propriété et possession mobilières";"77A";"77A Demande en revendication d'un bien mobilier";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"77 Propriété et possession mobilières";"77B";"77B Demande en restitution d'un meuble vendu avec une clause de réserve de propriété";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78F";"78F Demande en nullité et/ou en mainlevée, en suspension ou en exécution d'une saisie mobilière";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78G";"78G Demande relative à la saisissabilité et/ou à la mise à disposition de sommes ou d'un bien";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78H";"78H Demande d'ouverture ou contestation d'une procédure de saisie des rémunérations";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78I";"78I Autres demandes relatives à la saisie mobilière";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78J";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78K";"78K Demande en nullité et/ou de mainlevée d'une mesure conservatoire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78M";"78M Autres demandes relatives à une mesure conservatoire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78N";"78N Demande d'autorisation de mesures conservatoires et de mesures d'exécution forcée sur les biens des Etats étrangers";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78O";"78O Demande d'ordonnance européenne de saisie conservatoire des comptes bancaires";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78P";"78P Recours du débiteur contre l'ordonnance européenne de saisie conservatoire des comptes bancaires";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78Q";"78Q Recours du débiteur contre l'exécution de l'ordonnance européenne de saisie conservatoire des comptes bancaires";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78R";"78R Demande de modification ou de révocation de l'ordonnance européenne de saisie conservatoire des comptes bancaires";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78S";"78S Demande d'autorisation de visites et de saisies administratives dans le cadre de la prévention de la commission d'actes de terrorisme";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78T";"78T Demande d'autorisation d'une mesure conservatoire";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.7. Exécution";"JEX mobilier";"78 Saisies et mesures conservatoires";"78X";"78X Saisies et mesures conservatoires- nature d'affaire indéterminée";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30A";"30A Demande en nullité du bail commercial";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30B";"30B Demande en paiement des loyers et charges et/ou tendant à la résiliation du bail et/ou à l'expulsion";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30C";"30C Demande de fixation du prix du bail révisé ou renouvelé";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30D";"30D Action relative à la despécialisation";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30E";"30E Action en contestation de congé et/ou demande de renouvellement de bail";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30F";"30F Demande d'évaluation et/ou en paiement de l'indemnité d'éviction";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30G";"30G Demande d'exécution de travaux à la charge du bailleur, ou demande en garantie contre le bailleur";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30H";"30H Demande de fixation du prix de cession du bail commercial en cas de préemption";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Loyers commerciaux";"30 Bail commercial";"30Z";"30Z Autres demandes en matière de baux commerciaux";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Fonds de commerce";"31 Vente du fonds de commerce";"31A";"31A Demande en nullité des promesses de vente ou de vente de fonds de commerce";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Fonds de commerce";"31 Vente du fonds de commerce";"31B";"31B Demande en paiement du prix et/ou tendant à faire sanctionner le non-paiement du prix";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Fonds de commerce";"31 Vente du fonds de commerce";"31C";"31C Demande formée par les créanciers du vendeur inscrits ou opposants";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.8. Droit des affaires";"Fonds de commerce";"31 Vente du fonds de commerce";"31D";"31D Demande en garantie formée contre le vendeur";;;;;;;;;;
